0 <= x < 18870; y = 37.209311 + 0.012462x; least-squares 
 0 <= x < 30; 	 y_0 =  85.0000 + -0.5000x		interpolation 
30 <= x < 60; 	 y_1 =  70.0000 + 0.0000x		interpolation 
60 <= x < 90; 	 y_2 =  28.0000 + 0.7000x		interpolation 
90 <= x < 120; 	 y_3 =  103.0000 + -0.1333x		interpolation 
120 <= x < 150; 	 y_4 =  79.0000 + 0.0667x		interpolation 
150 <= x < 180; 	 y_5 =  99.0000 + -0.0667x		interpolation 
180 <= x < 210; 	 y_6 =  117.0000 + -0.1667x		interpolation 
210 <= x < 240; 	 y_7 =  152.0000 + -0.3333x		interpolation 
240 <= x < 270; 	 y_8 =  -64.0000 + 0.5667x		interpolation 
270 <= x < 300; 	 y_9 =  161.0000 + -0.2667x		interpolation 
300 <= x < 330; 	 y_10 =  -9.0000 + 0.3000x		interpolation 
330 <= x < 360; 	 y_11 =  211.0000 + -0.3667x		interpolation 
360 <= x < 390; 	 y_12 =  187.0000 + -0.3000x		interpolation 
390 <= x < 420; 	 y_13 =  31.0000 + 0.1000x		interpolation 
420 <= x < 450; 	 y_14 =  -123.0000 + 0.4667x		interpolation 
450 <= x < 480; 	 y_15 =  117.0000 + -0.0667x		interpolation 
480 <= x < 510; 	 y_16 =  341.0000 + -0.5333x		interpolation 
510 <= x < 540; 	 y_17 =  52.0000 + 0.0333x		interpolation 
540 <= x < 570; 	 y_18 =  106.0000 + -0.0667x		interpolation 
570 <= x < 600; 	 y_19 =  -46.0000 + 0.2000x		interpolation 
600 <= x < 630; 	 y_20 =  194.0000 + -0.2000x		interpolation 
630 <= x < 660; 	 y_21 =  -16.0000 + 0.1333x		interpolation 
660 <= x < 690; 	 y_22 =  -324.0000 + 0.6000x		interpolation 
690 <= x < 720; 	 y_23 =  527.0000 + -0.6333x		interpolation 
720 <= x < 750; 	 y_24 =  -313.0000 + 0.5333x		interpolation 
750 <= x < 780; 	 y_25 =  462.0000 + -0.5000x		interpolation 
780 <= x < 810; 	 y_26 =  -292.0000 + 0.4667x		interpolation 
810 <= x < 840; 	 y_27 =  437.0000 + -0.4333x		interpolation 
840 <= x < 870; 	 y_28 =  -319.0000 + 0.4667x		interpolation 
870 <= x < 900; 	 y_29 =  319.0000 + -0.2667x		interpolation 
900 <= x < 930; 	 y_30 =  -131.0000 + 0.2333x		interpolation 
930 <= x < 960; 	 y_31 =  179.0000 + -0.1000x		interpolation 
960 <= x < 990; 	 y_32 =  531.0000 + -0.4667x		interpolation 
990 <= x < 1020; 	 y_33 =  -327.0000 + 0.4000x		interpolation 
1020 <= x < 1050; 	 y_34 =  455.0000 + -0.3667x		interpolation 
1050 <= x < 1080; 	 y_35 =  0.0000 + 0.0667x		interpolation 
1080 <= x < 1110; 	 y_36 =  144.0000 + -0.0667x		interpolation 
1110 <= x < 1140; 	 y_37 =  -152.0000 + 0.2000x		interpolation 
1140 <= x < 1170; 	 y_38 =  -266.0000 + 0.3000x		interpolation 
1170 <= x < 1200; 	 y_39 =  475.0000 + -0.3333x		interpolation 
1200 <= x < 1230; 	 y_40 =  315.0000 + -0.2000x		interpolation 
1230 <= x < 1260; 	 y_41 =  -382.0000 + 0.3667x		interpolation 
1260 <= x < 1290; 	 y_42 =  458.0000 + -0.3000x		interpolation 
1290 <= x < 1320; 	 y_43 =  -144.0000 + 0.1667x		interpolation 
1320 <= x < 1350; 	 y_44 =  -408.0000 + 0.3667x		interpolation 
1350 <= x < 1380; 	 y_45 =  87.0000 + 0.0000x		interpolation 
1380 <= x < 1410; 	 y_46 =  -189.0000 + 0.2000x		interpolation 
1410 <= x < 1440; 	 y_47 =  281.0000 + -0.1333x		interpolation 
1440 <= x < 1470; 	 y_48 =  233.0000 + -0.1000x		interpolation 
1470 <= x < 1500; 	 y_49 =  429.0000 + -0.2333x		interpolation 
1500 <= x < 1530; 	 y_50 =  729.0000 + -0.4333x		interpolation 
1530 <= x < 1560; 	 y_51 =  -138.0000 + 0.1333x		interpolation 
