0 <= x < 18870; y = 34.752985 + 0.011669x; least-squares 
 0 <= x < 30; 	 y_0 =  80.0000 + -0.5000x		interpolation 
30 <= x < 60; 	 y_1 =  67.0000 + -0.0667x		interpolation 
60 <= x < 90; 	 y_2 =  19.0000 + 0.7333x		interpolation 
90 <= x < 120; 	 y_3 =  103.0000 + -0.2000x		interpolation 
120 <= x < 150; 	 y_4 =  59.0000 + 0.1667x		interpolation 
150 <= x < 180; 	 y_5 =  119.0000 + -0.2333x		interpolation 
180 <= x < 210; 	 y_6 =  59.0000 + 0.1000x		interpolation 
210 <= x < 240; 	 y_7 =  185.0000 + -0.5000x		interpolation 
240 <= x < 270; 	 y_8 =  -71.0000 + 0.5667x		interpolation 
270 <= x < 300; 	 y_9 =  91.0000 + -0.0333x		interpolation 
300 <= x < 330; 	 y_10 =  61.0000 + 0.0667x		interpolation 
330 <= x < 360; 	 y_11 =  149.0000 + -0.2000x		interpolation 
360 <= x < 390; 	 y_12 =  221.0000 + -0.4000x		interpolation 
390 <= x < 420; 	 y_13 =  13.0000 + 0.1333x		interpolation 
420 <= x < 450; 	 y_14 =  -155.0000 + 0.5333x		interpolation 
450 <= x < 480; 	 y_15 =  100.0000 + -0.0333x		interpolation 
480 <= x < 510; 	 y_16 =  388.0000 + -0.6333x		interpolation 
510 <= x < 540; 	 y_17 =  48.0000 + 0.0333x		interpolation 
540 <= x < 570; 	 y_18 =  102.0000 + -0.0667x		interpolation 
570 <= x < 600; 	 y_19 =  7.0000 + 0.1000x		interpolation 
600 <= x < 630; 	 y_20 =  67.0000 + 0.0000x		interpolation 
630 <= x < 660; 	 y_21 =  46.0000 + 0.0333x		interpolation 
660 <= x < 690; 	 y_22 =  -174.0000 + 0.3667x		interpolation 
690 <= x < 720; 	 y_23 =  424.0000 + -0.5000x		interpolation 
720 <= x < 750; 	 y_24 =  -440.0000 + 0.7000x		interpolation 
750 <= x < 780; 	 y_25 =  510.0000 + -0.5667x		interpolation 
780 <= x < 810; 	 y_26 =  -270.0000 + 0.4333x		interpolation 
810 <= x < 840; 	 y_27 =  405.0000 + -0.4000x		interpolation 
840 <= x < 870; 	 y_28 =  -295.0000 + 0.4333x		interpolation 
870 <= x < 900; 	 y_29 =  169.0000 + -0.1000x		interpolation 
900 <= x < 930; 	 y_30 =  109.0000 + -0.0333x		interpolation 
930 <= x < 960; 	 y_31 =  109.0000 + -0.0333x		interpolation 
960 <= x < 990; 	 y_32 =  525.0000 + -0.4667x		interpolation 
990 <= x < 1020; 	 y_33 =  -366.0000 + 0.4333x		interpolation 
1020 <= x < 1050; 	 y_34 =  450.0000 + -0.3667x		interpolation 
1050 <= x < 1080; 	 y_35 =  -285.0000 + 0.3333x		interpolation 
1080 <= x < 1110; 	 y_36 =  399.0000 + -0.3000x		interpolation 
1110 <= x < 1140; 	 y_37 =  -8.0000 + 0.0667x		interpolation 
1140 <= x < 1170; 	 y_38 =  -236.0000 + 0.2667x		interpolation 
1170 <= x < 1200; 	 y_39 =  232.0000 + -0.1333x		interpolation 
1200 <= x < 1230; 	 y_40 =  312.0000 + -0.2000x		interpolation 
1230 <= x < 1260; 	 y_41 =  148.0000 + -0.0667x		interpolation 
1260 <= x < 1290; 	 y_42 =  -20.0000 + 0.0667x		interpolation 
1290 <= x < 1320; 	 y_43 =  -192.0000 + 0.2000x		interpolation 
1320 <= x < 1350; 	 y_44 =  -412.0000 + 0.3667x		interpolation 
1350 <= x < 1380; 	 y_45 =  218.0000 + -0.1000x		interpolation 
1380 <= x < 1410; 	 y_46 =  218.0000 + -0.1000x		interpolation 
1410 <= x < 1440; 	 y_47 =  -205.0000 + 0.2000x		interpolation 
1440 <= x < 1470; 	 y_48 =  131.0000 + -0.0333x		interpolation 
1470 <= x < 1500; 	 y_49 =  425.0000 + -0.2333x		interpolation 
1500 <= x < 1530; 	 y_50 =  525.0000 + -0.3000x		interpolation 
1530 <= x < 1560; 	 y_51 =  117.0000 + -0.0333x		interpolation 
1560 <= x < 1590; 	 y_52 =  169.0000 + -0.0667x		interpolation 
1590 <= x < 1620; 	 y_53 =  -838.0000 + 0.5667x		interpolation 
1620 <= x < 1650; 	 y_54 =  998.0000 + -0.5667x		interpolation 
1650 <= x < 1680; 	 y_55 =  8.0000 + 0.0333x		interpolation 
1680 <= x < 1710; 	 y_56 =  8.0000 + 0.0333x		interpolation 
1710 <= x < 1740; 	 y_57 =  236.0000 + -0.1000x		interpolation 
1740 <= x < 1770; 	 y_58 =  -170.0000 + 0.1333x		interpolation 
1770 <= x < 1800; 	 y_59 =  184.0000 + -0.0667x		interpolation 
1800 <= x < 1830; 	 y_60 =  -1016.0000 + 0.6000x		interpolation 
1830 <= x < 1860; 	 y_61 =  1607.0000 + -0.8333x		interpolation 
1860 <= x < 1890; 	 y_62 =  -563.0000 + 0.3333x		interpolation 
1890 <= x < 1920; 	 y_63 =  -1130.0000 + 0.6333x		interpolation 
1920 <= x < 1950; 	 y_64 =  1366.0000 + -0.6667x		interpolation 
1950 <= x < 1980; 	 y_65 =  -454.0000 + 0.2667x		interpolation 
1980 <= x < 2010; 	 y_66 =  -322.0000 + 0.2000x		interpolation 
2010 <= x < 2040; 	 y_67 =  -255.0000 + 0.1667x		interpolation 
2040 <= x < 2070; 	 y_68 =  1309.0000 + -0.6000x		interpolation 
2070 <= x < 2100; 	 y_69 =  274.0000 + -0.1000x		interpolation 
2100 <= x < 2130; 	 y_70 =  64.0000 + 0.0000x		interpolation 
2130 <= x < 2160; 	 y_71 =  -7.0000 + 0.0333x		interpolation 
2160 <= x < 2190; 	 y_72 =  65.0000 + 0.0000x		interpolation 
2190 <= x < 2220; 	 y_73 =  -1103.0000 + 0.5333x		interpolation 
2220 <= x < 2250; 	 y_74 =  -215.0000 + 0.1333x		interpolation 
2250 <= x < 2280; 	 y_75 =  1735.0000 + -0.7333x		interpolation 
2280 <= x < 2310; 	 y_76 =  -13.0000 + 0.0333x		interpolation 
2310 <= x < 2340; 	 y_77 =  64.0000 + 0.0000x		interpolation 
2340 <= x < 2370; 	 y_78 =  -950.0000 + 0.4333x		interpolation 
2370 <= x < 2400; 	 y_79 =  -239.0000 + 0.1333x		interpolation 
2400 <= x < 2430; 	 y_80 =  1281.0000 + -0.5000x		interpolation 
2430 <= x < 2460; 	 y_81 =  -1311.0000 + 0.5667x		interpolation 
2460 <= x < 2490; 	 y_82 =  247.0000 + -0.0667x		interpolation 
2490 <= x < 2520; 	 y_83 =  -85.0000 + 0.0667x		interpolation 
2520 <= x < 2550; 	 y_84 =  335.0000 + -0.1000x		interpolation 
2550 <= x < 2580; 	 y_85 =  -260.0000 + 0.1333x		interpolation 
2580 <= x < 2610; 	 y_86 =  1632.0000 + -0.6000x		interpolation 
2610 <= x < 2640; 	 y_87 =  -1500.0000 + 0.6000x		interpolation 
2640 <= x < 2670; 	 y_88 =  612.0000 + -0.2000x		interpolation 
2670 <= x < 2700; 	 y_89 =  -367.0000 + 0.1667x		interpolation 
2700 <= x < 2730; 	 y_90 =  533.0000 + -0.1667x		interpolation 
2730 <= x < 2760; 	 y_91 =  1352.0000 + -0.4667x		interpolation 
2760 <= x < 2790; 	 y_92 =  -1500.0000 + 0.5667x		interpolation 
2790 <= x < 2820; 	 y_93 =  1662.0000 + -0.5667x		interpolation 
2820 <= x < 2850; 	 y_94 =  -970.0000 + 0.3667x		interpolation 
2850 <= x < 2880; 	 y_95 =  1310.0000 + -0.4333x		interpolation 
2880 <= x < 2910; 	 y_96 =  -226.0000 + 0.1000x		interpolation 
2910 <= x < 2940; 	 y_97 =  65.0000 + 0.0000x		interpolation 
2940 <= x < 2970; 	 y_98 =  65.0000 + 0.0000x		interpolation 
2970 <= x < 3000; 	 y_99 =  -1519.0000 + 0.5333x		interpolation 
3000 <= x < 3030; 	 y_100 =  1681.0000 + -0.5333x		interpolation 
3030 <= x < 3060; 	 y_101 =  -1652.0000 + 0.5667x		interpolation 
3060 <= x < 3090; 	 y_102 =  1408.0000 + -0.4333x		interpolation 
3090 <= x < 3120; 	 y_103 =  -1373.0000 + 0.4667x		interpolation 
3120 <= x < 3150; 	 y_104 =  83.0000 + 0.0000x		interpolation 
3150 <= x < 3180; 	 y_105 =  1868.0000 + -0.5667x		interpolation 
3180 <= x < 3210; 	 y_106 =  -40.0000 + 0.0333x		interpolation 
3210 <= x < 3240; 	 y_107 =  709.0000 + -0.2000x		interpolation 
3240 <= x < 3270; 	 y_108 =  -695.0000 + 0.2333x		interpolation 
3270 <= x < 3300; 	 y_109 =  -1567.0000 + 0.5000x		interpolation 
3300 <= x < 3330; 	 y_110 =  413.0000 + -0.1000x		interpolation 
3330 <= x < 3360; 	 y_111 =  1634.0000 + -0.4667x		interpolation 
3360 <= x < 3390; 	 y_112 =  -1390.0000 + 0.4333x		interpolation 
3390 <= x < 3420; 	 y_113 =  -599.0000 + 0.2000x		interpolation 
3420 <= x < 3450; 	 y_114 =  541.0000 + -0.1333x		interpolation 
3450 <= x < 3480; 	 y_115 =  1806.0000 + -0.5000x		interpolation 
3480 <= x < 3510; 	 y_116 =  66.0000 + 0.0000x		interpolation 
3510 <= x < 3540; 	 y_117 =  417.0000 + -0.1000x		interpolation 
3540 <= x < 3570; 	 y_118 =  -409.0000 + 0.1333x		interpolation 
3570 <= x < 3600; 	 y_119 =  424.0000 + -0.1000x		interpolation 
3600 <= x < 3630; 	 y_120 =  304.0000 + -0.0667x		interpolation 
3630 <= x < 3660; 	 y_121 =  -2842.0000 + 0.8000x		interpolation 
3660 <= x < 3690; 	 y_122 =  2526.0000 + -0.6667x		interpolation 
3690 <= x < 3720; 	 y_123 =  189.0000 + -0.0333x		interpolation 
3720 <= x < 3750; 	 y_124 =  -555.0000 + 0.1667x		interpolation 
3750 <= x < 3780; 	 y_125 =  -1305.0000 + 0.3667x		interpolation 
3780 <= x < 3810; 	 y_126 =  2097.0000 + -0.5333x		interpolation 
3810 <= x < 3840; 	 y_127 =  319.0000 + -0.0667x		interpolation 
3840 <= x < 3870; 	 y_128 =  -449.0000 + 0.1333x		interpolation 
3870 <= x < 3900; 	 y_129 =  -2126.0000 + 0.5667x		interpolation 
3900 <= x < 3930; 	 y_130 =  994.0000 + -0.2333x		interpolation 
3930 <= x < 3960; 	 y_131 =  1780.0000 + -0.4333x		interpolation 
3960 <= x < 3990; 	 y_132 =  -464.0000 + 0.1333x		interpolation 
3990 <= x < 4020; 	 y_133 =  -2060.0000 + 0.5333x		interpolation 
4020 <= x < 4050; 	 y_134 =  2094.0000 + -0.5000x		interpolation 
4050 <= x < 4080; 	 y_135 =  474.0000 + -0.1000x		interpolation 
4080 <= x < 4110; 	 y_136 =  -342.0000 + 0.1000x		interpolation 
4110 <= x < 4140; 	 y_137 =  617.0000 + -0.1333x		interpolation 
4140 <= x < 4170; 	 y_138 =  -1315.0000 + 0.3333x		interpolation 
4170 <= x < 4200; 	 y_139 =  -759.0000 + 0.2000x		interpolation 
4200 <= x < 4230; 	 y_140 =  1901.0000 + -0.4333x		interpolation 
4230 <= x < 4260; 	 y_141 =  350.0000 + -0.0667x		interpolation 
4260 <= x < 4290; 	 y_142 =  -1780.0000 + 0.4333x		interpolation 
4290 <= x < 4320; 	 y_143 =  -636.0000 + 0.1667x		interpolation 
4320 <= x < 4350; 	 y_144 =  804.0000 + -0.1667x		interpolation 
4350 <= x < 4380; 	 y_145 =  2399.0000 + -0.5333x		interpolation 
4380 <= x < 4410; 	 y_146 =  -1543.0000 + 0.3667x		interpolation 
4410 <= x < 4440; 	 y_147 =  -514.0000 + 0.1333x		interpolation 
4440 <= x < 4470; 	 y_148 =  1706.0000 + -0.3667x		interpolation 
4470 <= x < 4500; 	 y_149 =  -1721.0000 + 0.4000x		interpolation 
4500 <= x < 4530; 	 y_150 =  1879.0000 + -0.4000x		interpolation 
4530 <= x < 4560; 	 y_151 =  -84.0000 + 0.0333x		interpolation 
4560 <= x < 4590; 	 y_152 =  -2364.0000 + 0.5333x		interpolation 
4590 <= x < 4620; 	 y_153 =  2838.0000 + -0.6000x		interpolation 
4620 <= x < 4650; 	 y_154 =  220.0000 + -0.0333x		interpolation 
4650 <= x < 4680; 	 y_155 =  -90.0000 + 0.0333x		interpolation 
4680 <= x < 4710; 	 y_156 =  -90.0000 + 0.0333x		interpolation 
4710 <= x < 4740; 	 y_157 =  538.0000 + -0.1000x		interpolation 
4740 <= x < 4770; 	 y_158 =  -3096.0000 + 0.6667x		interpolation 
4770 <= x < 4800; 	 y_159 =  2946.0000 + -0.6000x		interpolation 
4800 <= x < 4830; 	 y_160 =  -254.0000 + 0.0667x		interpolation 
4830 <= x < 4860; 	 y_161 =  -2830.0000 + 0.6000x		interpolation 
4860 <= x < 4890; 	 y_162 =  3488.0000 + -0.7000x		interpolation 
4890 <= x < 4920; 	 y_163 =  -2543.0000 + 0.5333x		interpolation 
4920 <= x < 4950; 	 y_164 =  -411.0000 + 0.1000x		interpolation 
4950 <= x < 4980; 	 y_165 =  2889.0000 + -0.5667x		interpolation 
4980 <= x < 5010; 	 y_166 =  67.0000 + 0.0000x		interpolation 
5010 <= x < 5040; 	 y_167 =  -2772.0000 + 0.5667x		interpolation 
5040 <= x < 5070; 	 y_168 =  2604.0000 + -0.5000x		interpolation 
5070 <= x < 5100; 	 y_169 =  -2973.0000 + 0.6000x		interpolation 
5100 <= x < 5130; 	 y_170 =  937.0000 + -0.1667x		interpolation 
5130 <= x < 5160; 	 y_171 =  3331.0000 + -0.6333x		interpolation 
5160 <= x < 5190; 	 y_172 =  -625.0000 + 0.1333x		interpolation 
5190 <= x < 5220; 	 y_173 =  -2874.0000 + 0.5667x		interpolation 
5220 <= x < 5250; 	 y_174 =  258.0000 + -0.0333x		interpolation 
5250 <= x < 5280; 	 y_175 =  3058.0000 + -0.5667x		interpolation 
5280 <= x < 5310; 	 y_176 =  -110.0000 + 0.0333x		interpolation 
5310 <= x < 5340; 	 y_177 =  -2942.0000 + 0.5667x		interpolation 
5340 <= x < 5370; 	 y_178 =  796.0000 + -0.1333x		interpolation 
5370 <= x < 5400; 	 y_179 =  2407.0000 + -0.4333x		interpolation 
5400 <= x < 5430; 	 y_180 =  247.0000 + -0.0333x		interpolation 
5430 <= x < 5460; 	 y_181 =  -3373.0000 + 0.6333x		interpolation 
5460 <= x < 5490; 	 y_182 =  85.0000 + 0.0000x		interpolation 
5490 <= x < 5520; 	 y_183 =  3379.0000 + -0.6000x		interpolation 
5520 <= x < 5550; 	 y_184 =  -117.0000 + 0.0333x		interpolation 
5550 <= x < 5580; 	 y_185 =  -2892.0000 + 0.5333x		interpolation 
5580 <= x < 5610; 	 y_186 =  2688.0000 + -0.4667x		interpolation 
5610 <= x < 5640; 	 y_187 =  -2548.0000 + 0.4667x		interpolation 
5640 <= x < 5670; 	 y_188 =  2904.0000 + -0.5000x		interpolation 
5670 <= x < 5700; 	 y_189 =  -2766.0000 + 0.5000x		interpolation 
5700 <= x < 5730; 	 y_190 =  1034.0000 + -0.1667x		interpolation 
5730 <= x < 5760; 	 y_191 =  2562.0000 + -0.4333x		interpolation 
5760 <= x < 5790; 	 y_192 =  -702.0000 + 0.1333x		interpolation 
5790 <= x < 5820; 	 y_193 =  -2246.0000 + 0.4000x		interpolation 
5820 <= x < 5850; 	 y_194 =  2410.0000 + -0.4000x		interpolation 
5850 <= x < 5880; 	 y_195 =  -2855.0000 + 0.5000x		interpolation 
5880 <= x < 5910; 	 y_196 =  477.0000 + -0.0667x		interpolation 
5910 <= x < 5940; 	 y_197 =  3432.0000 + -0.5667x		interpolation 
5940 <= x < 5970; 	 y_198 =  -726.0000 + 0.1333x		interpolation 
5970 <= x < 6000; 	 y_199 =  -1920.0000 + 0.3333x		interpolation 
6000 <= x < 6030; 	 y_200 =  -320.0000 + 0.0667x		interpolation 
6030 <= x < 6060; 	 y_201 =  3298.0000 + -0.5333x		interpolation 
6060 <= x < 6090; 	 y_202 =  -1954.0000 + 0.3333x		interpolation 
6090 <= x < 6120; 	 y_203 =  -1548.0000 + 0.2667x		interpolation 
6120 <= x < 6150; 	 y_204 =  3144.0000 + -0.5000x		interpolation 
6150 <= x < 6180; 	 y_205 =  684.0000 + -0.1000x		interpolation 
6180 <= x < 6210; 	 y_206 =  66.0000 + 0.0000x		interpolation 
6210 <= x < 6240; 	 y_207 =  -2625.0000 + 0.4333x		interpolation 
6240 <= x < 6270; 	 y_208 =  287.0000 + -0.0333x		interpolation 
6270 <= x < 6300; 	 y_209 =  4676.0000 + -0.7333x		interpolation 
6300 <= x < 6330; 	 y_210 =  -2464.0000 + 0.4000x		interpolation 
6330 <= x < 6360; 	 y_211 =  1123.0000 + -0.1667x		interpolation 
6360 <= x < 6390; 	 y_212 =  -1209.0000 + 0.2000x		interpolation 
6390 <= x < 6420; 	 y_213 =  -2487.0000 + 0.4000x		interpolation 
6420 <= x < 6450; 	 y_214 =  2649.0000 + -0.4000x		interpolation 
6450 <= x < 6480; 	 y_215 =  -2726.0000 + 0.4333x		interpolation 
